Sex,Marital status,Age,Education,Income,Occupation,Settlement size
male,single,67,universty,124670,skilled employee,big city
female,non-single,22,high school,150773,skilled employee,big city
male,single,49,high school,89210,unemployed,small city
male,single,45,high school,171565,skilled employee,mid-sized city
male,single,53,high school,149031,skilled employee,mid-sized city
male,single,35,high school,144848,unemployed,small city
male,single,53,high school,156495,skilled employee,mid-sized city
male,single,35,high school,193621,highly qualified employee,mid-sized city
male,non-single,61,universty,151591,unemployed,small city
male,non-single,28,high school,174646,highly qualified employee,small city
female,non-single,25,high school,108469,skilled employee,small city
female,non-single,24,high school,127596,skilled employee,small city
female,non-single,22,high school,108687,skilled employee,big city
male,single,60,universty,89374,unemployed,small city
female,non-single,28,high school,102899,skilled employee,mid-sized city
female,non-single,32,high school,88428,unemployed,small city
male,single,53,high school,125550,skilled employee,small city
male,single,25,unknown,157434,skilled employee,big city
female,non-single,44,universty,261952,highly qualified employee,big city
male,single,31,unknown,144657,skilled employee,mid-sized city
male,single,48,high school,118777,skilled employee,mid-sized city
male,single,44,high school,147511,skilled employee,mid-sized city
male,single,48,high school,89804,unemployed,small city
male,single,44,high school,134918,skilled employee,big city
male,non-single,26,high school,103667,skilled employee,big city
male,single,36,high school,71909,unemployed,small city
male,non-single,39,high school,68264,unemployed,small city
female,non-single,42,universty,163025,skilled employee,mid-sized city
male,single,34,high school,119307,skilled employee,mid-sized city
male,single,63,universty,175882,skilled employee,small city
male,non-single,36,high school,159646,skilled employee,mid-sized city
male,single,27,unknown,120131,skilled employee,mid-sized city
male,single,30,unknown,162745,skilled employee,big city
male,single,57,universty,87605,unemployed,small city
female,non-single,33,high school,155569,highly qualified employee,mid-sized city
male,single,25,unknown,104505,unemployed,small city
male,single,31,unknown,143385,skilled employee,big city
male,single,37,high school,127676,skilled employee,mid-sized city
male,single,37,high school,119276,skilled employee,mid-sized city
male,single,24,unknown,92542,skilled employee,mid-sized city
male,single,30,unknown,163329,highly qualified employee,mid-sized city
male,non-single,26,high school,130921,skilled employee,small city
male,single,44,high school,133658,unemployed,small city
male,non-single,24,high school,155104,skilled employee,mid-sized city
female,non-single,58,universty,142335,unemployed,mid-sized city
female,non-single,35,high school,138387,highly qualified employee,mid-sized city
male,single,39,high school,140182,skilled employee,small city
female,non-single,23,high school,65421,unemployed,small city
male,single,39,high school,130500,unemployed,small city
female,non-single,28,high school,122831,skilled employee,small city
male,single,29,unknown,84531,unemployed,small city
male,single,30,unknown,180196,highly qualified employee,big city
male,single,25,unknown,92058,skilled employee,big city
male,single,31,unknown,117158,skilled employee,small city
male,single,57,universty,135830,skilled employee,mid-sized city
male,single,26,unknown,58258,unemployed,small city
male,single,52,high school,202575,highly qualified employee,big city
female,non-single,31,high school,183657,skilled employee,mid-sized city
female,non-single,23,high school,152267,highly qualified employee,mid-sized city
female,non-single,23,high school,115240,unemployed,small city
male,non-single,27,high school,106955,skilled employee,big city
male,single,50,high school,123641,skilled employee,mid-sized city
male,single,61,universty,166410,highly qualified employee,mid-sized city
male,single,25,unknown,227385,skilled employee,big city
female,non-single,26,high school,118372,skilled employee,mid-sized city
male,single,48,high school,148115,skilled employee,mid-sized city
female,non-single,29,high school,111069,skilled employee,small city
male,non-single,22,high school,139780,skilled employee,small city
male,single,37,high school,106978,skilled employee,big city
female,non-single,25,high school,110019,skilled employee,big city
female,non-single,30,high school,169102,skilled employee,mid-sized city
male,single,46,high school,73703,unemployed,small city
male,single,51,high school,141858,highly qualified employee,big city
female,non-single,41,universty,135959,unemployed,small city
male,single,40,high school,140888,highly qualified employee,big city
male,single,66,universty,157299,highly qualified employee,big city
male,single,34,high school,125187,skilled employee,mid-sized city
male,single,51,high school,155486,skilled employee,big city
male,single,39,high school,151697,unemployed,small city
male,non-single,22,high school,126400,skilled employee,mid-sized city
female,non-single,44,universty,159246,skilled employee,big city
male,single,47,high school,136138,skilled employee,mid-sized city
female,non-single,24,high school,84792,unemployed,small city
female,non-single,58,universty,100210,unemployed,small city
male,single,52,high school,93706,unemployed,small city
female,non-single,29,high school,133783,highly qualified employee,mid-sized city
female,non-single,27,high school,110064,skilled employee,big city
male,single,47,high school,241068,skilled employee,mid-sized city
male,single,30,unknown,149022,highly qualified employee,big city
male,single,28,unknown,92973,skilled employee,big city
male,single,56,high school,110605,skilled employee,mid-sized city
male,single,54,high school,116604,skilled employee,mid-sized city
female,non-single,33,high school,71070,unemployed,small city
male,single,20,unknown,128678,skilled employee,mid-sized city
male,single,54,high school,165230,skilled employee,big city
male,single,58,universty,268340,skilled employee,mid-sized city
female,non-single,61,universty,135070,skilled employee,mid-sized city
male,single,34,high school,134794,skilled employee,big city
male,single,36,high school,120153,skilled employee,mid-sized city
male,single,36,high school,195465,highly qualified employee,big city
male,non-single,41,high school,93372,unemployed,small city
male,single,24,unknown,110446,skilled employee,small city
female,non-single,24,high school,95186,skilled employee,mid-sized city
male,single,35,high school,115343,skilled employee,mid-sized city
male,non-single,26,high school,107276,skilled employee,mid-sized city
male,single,39,high school,244716,highly qualified employee,big city
male,single,39,high school,183108,highly qualified employee,big city
male,single,32,unknown,152876,skilled employee,big city
female,non-single,30,high school,165147,skilled employee,small city
male,non-single,35,high school,140520,skilled employee,small city
male,non-single,31,high school,124203,skilled employee,mid-sized city
female,non-single,23,high school,107205,skilled employee,mid-sized city
male,single,28,unknown,121432,unemployed,big city
female,non-single,25,high school,162445,skilled employee,small city
male,non-single,35,high school,134112,skilled employee,mid-sized city
male,single,47,high school,131842,skilled employee,mid-sized city
female,non-single,30,high school,189896,highly qualified employee,small city
female,non-single,27,high school,109099,skilled employee,big city
female,non-single,23,high school,153539,skilled employee,mid-sized city
male,non-single,36,high school,180495,highly qualified employee,mid-sized city
female,non-single,25,high school,104653,skilled employee,big city
female,non-single,41,universty,166933,highly qualified employee,big city
male,single,24,unknown,66118,unemployed,small city
male,single,63,universty,135754,skilled employee,small city
female,non-single,27,high school,116103,skilled employee,big city
male,single,30,unknown,104293,skilled employee,mid-sized city
male,non-single,40,high school,71702,unemployed,small city
male,single,30,unknown,99066,skilled employee,big city
male,single,34,high school,143979,highly qualified employee,big city
female,non-single,29,high school,123818,skilled employee,small city
female,non-single,24,high school,176714,skilled employee,big city
male,single,29,unknown,149249,skilled employee,big city
male,single,27,unknown,77535,unemployed,small city
male,single,47,high school,116540,skilled employee,mid-sized city
female,non-single,21,high school,194728,skilled employee,small city
female,non-single,38,high school,109311,skilled employee,big city
male,single,27,unknown,204723,skilled employee,big city
male,single,66,universty,126003,unemployed,small city
male,single,35,high school,123109,skilled employee,mid-sized city
female,non-single,44,universty,108251,unemployed,small city
male,non-single,27,high school,89908,unemployed,small city
female,non-single,30,high school,176057,highly qualified employee,mid-sized city
male,single,27,unknown,144332,highly qualified employee,big city
male,single,22,unknown,101185,skilled employee,mid-sized city
female,non-single,23,high school,107406,skilled employee,big city
male,single,30,unknown,140665,skilled employee,mid-sized city
female,non-single,39,universty,106461,skilled employee,small city
female,non-single,51,universty,127825,skilled employee,small city
male,single,28,unknown,133898,skilled employee,mid-sized city
male,single,46,high school,152383,skilled employee,big city
male,single,42,high school,119926,skilled employee,small city
male,single,38,high school,108784,skilled employee,big city
male,single,24,unknown,153286,skilled employee,mid-sized city
female,non-single,29,high school,214204,skilled employee,big city
male,single,36,high school,208101,highly qualified employee,big city
female,non-single,20,high school,95355,skilled employee,mid-sized city
male,single,48,high school,124156,skilled employee,mid-sized city
male,non-single,45,universty,72215,unemployed,small city
male,single,38,high school,146529,skilled employee,big city
male,single,34,high school,75343,unemployed,small city
male,single,36,high school,129789,skilled employee,mid-sized city
female,non-single,30,high school,101153,skilled employee,mid-sized city
male,single,36,high school,127833,skilled employee,big city
male,single,70,universty,224998,highly qualified employee,big city
male,single,36,high school,124445,skilled employee,big city
male,single,32,unknown,141116,skilled employee,mid-sized city
female,non-single,33,high school,104276,skilled employee,big city
female,non-single,20,high school,147687,skilled employee,big city
female,non-single,25,high school,125168,skilled employee,mid-sized city
male,non-single,31,high school,115369,skilled employee,big city
male,single,33,high school,95445,skilled employee,small city
female,non-single,26,high school,95159,skilled employee,mid-sized city
female,non-single,34,high school,153031,highly qualified employee,big city
male,single,33,high school,108899,skilled employee,small city
male,single,26,unknown,113515,skilled employee,mid-sized city
female,non-single,53,universty,211229,highly qualified employee,small city
male,non-single,42,universty,121307,skilled employee,small city
male,single,52,high school,131727,skilled employee,big city
male,single,31,unknown,133574,highly qualified employee,mid-sized city
male,single,65,universty,117334,skilled employee,small city
male,non-single,28,high school,177291,skilled employee,big city
male,non-single,30,high school,168763,highly qualified employee,mid-sized city
male,single,40,high school,77720,unemployed,small city
male,single,50,high school,176645,skilled employee,big city
male,single,36,high school,106205,skilled employee,mid-sized city
male,single,31,unknown,97785,skilled employee,mid-sized city
female,non-single,74,graduate school,214364,highly qualified employee,mid-sized city
male,single,68,universty,74525,unemployed,small city
male,non-single,20,high school,98988,skilled employee,small city
female,non-single,33,high school,133561,skilled employee,mid-sized city
male,single,54,high school,217651,highly qualified employee,big city
male,single,34,high school,116525,unemployed,small city
male,single,36,high school,135302,skilled employee,big city
male,non-single,29,high school,106434,skilled employee,mid-sized city
male,single,21,unknown,128350,skilled employee,big city
female,non-single,34,high school,147626,highly qualified employee,big city
female,non-single,28,high school,102697,skilled employee,small city
female,non-single,27,high school,120262,skilled employee,small city
male,single,36,high school,124214,skilled employee,big city
male,non-single,40,high school,175223,highly qualified employee,mid-sized city
male,single,52,high school,137467,skilled employee,small city
male,non-single,27,high school,65815,unemployed,small city
male,single,26,unknown,129864,skilled employee,mid-sized city
male,non-single,21,high school,88475,skilled employee,mid-sized city
male,single,38,high school,74666,unemployed,small city
male,single,38,high school,222294,highly qualified employee,big city
male,single,43,high school,112878,skilled employee,small city
male,single,26,unknown,103411,skilled employee,big city
male,non-single,21,high school,112868,unemployed,small city
male,single,55,high school,157940,skilled employee,big city
male,single,33,high school,115835,skilled employee,big city
female,non-single,45,universty,109807,unemployed,small city
male,single,50,high school,150699,skilled employee,mid-sized city
male,single,66,universty,178967,highly qualified employee,small city
male,single,51,high school,132767,skilled employee,small city
female,non-single,39,universty,86152,unemployed,small city
male,single,31,unknown,114528,skilled employee,big city
male,single,23,unknown,133912,skilled employee,mid-sized city
male,non-single,24,high school,81210,unemployed,small city
female,non-single,64,graduate school,131242,skilled employee,small city
male,non-single,26,high school,68804,unemployed,small city
female,non-single,23,high school,96961,skilled employee,mid-sized city
male,single,30,unknown,90719,skilled employee,big city
male,single,32,unknown,114116,skilled employee,mid-sized city
male,single,30,unknown,128639,skilled employee,mid-sized city
male,single,27,unknown,106623,skilled employee,mid-sized city
male,single,27,unknown,236264,skilled employee,mid-sized city
male,single,53,high school,207783,highly qualified employee,mid-sized city
male,single,22,unknown,91739,skilled employee,mid-sized city
male,single,22,unknown,107780,skilled employee,big city
male,single,26,unknown,139157,skilled employee,big city
male,single,51,high school,121751,unemployed,small city
male,single,35,high school,121974,skilled employee,small city
male,non-single,25,high school,70320,unemployed,small city
male,single,42,high school,78327,unemployed,small city
male,single,30,unknown,131433,highly qualified employee,small city
male,single,23,unknown,167076,unemployed,big city
male,non-single,61,universty,130788,unemployed,small city
female,non-single,35,high school,107408,skilled employee,mid-sized city
male,single,39,high school,115323,skilled employee,mid-sized city
female,non-single,29,high school,99012,skilled employee,small city
male,single,51,high school,115996,skilled employee,mid-sized city
male,single,24,unknown,123353,skilled employee,mid-sized city
female,non-single,27,high school,100008,skilled employee,small city
female,non-single,35,high school,125105,unemployed,small city
male,single,25,unknown,92020,skilled employee,big city
male,single,52,high school,108365,skilled employee,big city
male,single,35,high school,112979,skilled employee,small city
male,single,26,unknown,117221,skilled employee,mid-sized city
female,non-single,22,high school,88800,skilled employee,big city
female,non-single,39,universty,115099,unemployed,small city
female,non-single,46,universty,113399,unemployed,small city
female,non-single,24,high school,115879,skilled employee,mid-sized city
male,single,35,high school,141270,skilled employee,big city
male,single,24,unknown,107633,skilled employee,mid-sized city
male,single,27,unknown,131751,unemployed,small city
male,single,35,high school,83687,unemployed,small city
male,non-single,29,high school,106828,skilled employee,big city
female,non-single,23,high school,135537,skilled employee,mid-sized city
female,non-single,57,universty,107142,unemployed,small city
male,single,27,unknown,97446,skilled employee,mid-sized city
female,non-single,55,universty,126357,skilled employee,big city
male,single,36,high school,169617,highly qualified employee,mid-sized city
female,non-single,57,universty,108945,unemployed,small city
male,single,32,unknown,67345,unemployed,small city
male,single,37,high school,106215,skilled employee,small city
male,single,36,high school,149237,skilled employee,small city
female,non-single,38,high school,112124,skilled employee,small city
male,non-single,45,universty,215150,highly qualified employee,big city
male,single,25,unknown,89534,skilled employee,mid-sized city
male,single,32,unknown,111082,skilled employee,big city
female,non-single,37,high school,137069,skilled employee,mid-sized city
male,single,36,high school,244541,highly qualified employee,big city
